Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude,id
2022-01-31,Falcon 9,2240.0,SSO,CCSFS SLC 40,True - RTLS,3,True,True,True,5e9e3032383ecb267a34e7c7,5.0,6,B1052,-80.577366,28.5618571,6161d32d6db1a92bfba85359
2022-02-02,Falcon 9,,LEO,VAFB SLC 4E,True - RTLS,1,True,False,True,5e9e3032383ecb554034e7c9,5.0,3,B1071,-120.610829,34.632093,607a34e35a906a44023e085e
2022-02-03,Falcon 9,13260.0,VLEO,KSC LC 39A,True - ASDS,6,True,True,True,5e9e3033383ecb075134e7cd,5.0,9,B1061,-80.6039558,28.6080585,61e048ffbe8d8b66799018d1
2022-02-21,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True - ASDS,11,True,True,True,5e9e3033383ecb075134e7cd,5.0,13,B1058,-80.577366,28.5618571,61fc01dae0dc5662b76489a7
2022-02-25,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True - ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6,B1063,-120.610829,34.632093,61fc0203e0dc5662b76489a8
2022-03-03,Falcon 9,13260.0,VLEO,KSC LC 39A,True - ASDS,11,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1060,-80.6039558,28.6080585,61fc0224e0dc5662b76489ab
2022-03-09,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True - ASDS,4,True,True,True,5e9e3033383ecb075134e7cd,5.0,6,B1052,-80.577366,28.5618571,61fc0243e0dc5662b76489ae
2022-03-19,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True - ASDS,12,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1051,-80.577366,28.5618571,6234908cf051102e1fcedac4
2022-04-01,Falcon 9,,SSO,CCSFS SLC 40,True - ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9,B1061,-80.577366,28.5618571,6243ad8baf52800c6e919252
2022-04-08,Falcon 9,,ISS,KSC LC 39A,True - ASDS,5,True,True,True,5e9e3033383ecb075134e7cd,5.0,8,B1062,-80.6039558,28.6080585,61eefaa89eb1064137a1bd73
2022-04-17,Falcon 9,,LEO,VAFB SLC 4E,True - RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,3,B1071,-120.610829,34.632093,6243adcaaf52800c6e919254
2022-04-21,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True - ASDS,12,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1060,-80.577366,28.5618571,6243ada6af52800c6e919253
2022-04-27,Falcon 9,,ISS,KSC LC 39A,True - ASDS,4,True,True,True,5e9e3033383ecb075134e7cd,5.0,5,B1067,-80.6039558,28.6080585,6243ade2af52800c6e919255
2022-04-29,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True - ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,8,B1062,-80.577366,28.5618571,62582a6f5988f159024b964b
2022-05-06,Falcon 9,13260.0,VLEO,KSC LC 39A,True - ASDS,12,True,True,True,5e9e3033383ecb075134e7cd,5.0,13,B1058,-80.6039558,28.6080585,62582a855988f159024b964c
2022-05-13,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True - ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6,B1063,-120.610829,34.632093,6258290d5988f159024b9644
2022-05-14,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True - ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,2,B1073,-80.577366,28.5618571,625828f25988f159024b9643
2022-05-18,Falcon 9,13260.0,VLEO,KSC LC 39A,True - ASDS,5,True,True,True,5e9e3033383ecb075134e7cd,5.0,6,B1052,-80.6039558,28.6080585,62615ebc0ec008379be596fa
2022-05-25,Falcon 9,,SSO,CCSFS SLC 40,True - RTLS,8,True,True,True,5e9e3032383ecb267a34e7c7,5.0,9,B1061,-80.577366,28.5618571,6243ae24af52800c6e919258
2022-06-01,Falcon 9,13260.0,VLEO,KSC LC 39A,True - ASDS,13,True,True,True,5e9e3033383ecb075134e7cd,5.0,12,B1060,-80.6039558,28.6080585,6278481757b51b752c5c5a5f
2022-06-08,Falcon 9,3938.0,GEO,CCSFS SLC 40,True - ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,8,B1062,-80.577366,28.5618571,6243ae0aaf52800c6e919257
2022-06-18,Falcon 9,2200.0,SSO,VAFB SLC 4E,True - RTLS,3,True,True,True,5e9e3032383ecb554034e7c9,5.0,3,B1071,-120.610829,34.632093,5fe3af43b3467846b324215e
2022-06-19,Falcon 9,700.0,LEO,CCSFS SLC 40,True - ASDS,9,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9,B1061,-80.577366,28.5618571,62a9f08b20413d2695d88711
2022-06-29,Falcon 9,3500.0,MEO,CCSFS SLC 40,True - ASDS,2,True,True,True,5e9e3033383ecb075134e7cd,5.0,2,B1073,-80.577366,28.5618571,6243aea5af52800c6e91925c
2022-07-07,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True - ASDS,13,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,13,B1058,-80.577366,28.5618571,62a9f0c920413d2695d88712
2022-07-11,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True - ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6,B1063,-120.610829,34.632093,62a9f0e320413d2695d88713
2022-07-15,Falcon 9,,ISS,KSC LC 39A,True - ASDS,5,True,True,True,5e9e3033383ecb075134e7cd,5.0,5,B1067,-80.6039558,28.6080585,6243ae40af52800c6e919259
2022-07-17,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True - ASDS,13,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1051,-80.577366,28.5618571,62a9f0f820413d2695d88714
2022-07-21,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True - ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1071,-120.610829,34.632093,62a9f10b20413d2695d88715
2022-07-24,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True - ASDS,8,True,True,True,5e9e3033383ecb075134e7cd,5.0,8,B1062,-80.577366,28.5618571,62a9f12820413d2695d88716
2022-08-04,Falcon 9,678.0,TLI,CCSFS SLC 40,True - ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,6,B1052,-80.577366,28.5618571,62a9f86420413d2695d88719
2022-08-09,Falcon 9,13260.0,VLEO,KSC LC 39A,True - ASDS,3,True,True,True,5e9e3033383ecb075134e7cd,5.0,2,B1073,-80.6039558,28.6080585,62a9f8b320413d2695d8871b
2022-08-12,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True - ASDS,10,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1061,-120.610829,34.632093,62f3b4ff0f55c50e192a4e6b
2022-08-19,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True - ASDS,9,True,True,True,5e9e3033383ecb075134e7cd,5.0,8,B1062,-80.577366,28.5618571,62f3b5200f55c50e192a4e6c
2022-08-28,Falcon 9,13260.0,VLEO,KSC LC 39A,True - ASDS,2,True,True,True,5e9e3033383ecb075134e7cd,5.0,1,B1069,-80.6039558,28.6080585,62f3b5290f55c50e192a4e6d
2022-08-31,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True - ASDS,7,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6,B1063,-120.610829,34.632093,62f3b53a0f55c50e192a4e6f
2022-09-05,Falcon 9,13440.0,VLEO,CCSFS SLC 40,True - ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,6,B1052,-80.577366,28.5618571,62f3b5330f55c50e192a4e6e
2022-09-11,Falcon 9,14760.0,VLEO,KSC LC 39A,True - ASDS,14,True,True,True,5e9e3033383ecb075134e7cd,5.0,13,B1058,-80.6039558,28.6080585,62a9f89a20413d2695d8871a
2022-09-17,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True - ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,5,B1067,-80.577366,28.5618571,63161329ffc78f3b8567070b
2022-09-24,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True - ASDS,4,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,0,B1072,-80.577366,28.5618571,63161339ffc78f3b8567070c
2022-10-05,Falcon 9,,ISS,KSC LC 39A,True - ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,0,B1077,-80.6039558,28.6080585,62dd70d5202306255024d139
